0,1
23,1
24,1
29,1
35,1
38,1
44,1
45,1
49,1
51,1
54,1
60,1
62,1
64,1
72,1
74,1
80,1
83,1
90,1
91,1
96,1
99,1
100,1
103,1
105,1
108,1
121,1
122,2
125,1
129,1
131,1
135,3
138,1
140,1
142,1
145,1
146,1
155,1
158,1
159,1
162,1
163,1
166,1
169,1
173,1
177,1
182,1
186,1
187,1
188,1
193,1
197,1
202,1
205,1
208,1
209,1
211,2
218,1
222,1
225,1
226,1
227,1
231,1
235,1
248,1
251,1
252,1
259,1
262,1
263,1
264,1
275,1
286,1
294,1
295,1
302,1
305,1
307,1
312,1
318,1
328,2
331,1
333,2
336,1
345,1
352,1
355,1
368,2
371,1
377,1
379,1
388,1
390,2
391,1
395,1
399,1
400,1
404,2
405,1
408,1
411,2
416,1
418,1
423,1
428,1
431,1
439,1
441,1
446,2
452,1
457,1
462,2
464,1
465,1
470,1
471,1
475,1
481,2
483,1
484,1
488,1
490,3
491,1
493,1
495,1
496,1
497,2
498,2
501,1
502,1
524,1
526,1
532,1
536,1
541,1
546,1
555,1
557,2
560,1
561,1
562,1
564,1
571,1
577,1
578,1
579,1
582,1
584,1
590,1
591,1
593,1
598,1
601,3
604,1
608,2
619,3
623,1
624,2
633,2
634,1
635,1
636,1
638,1
640,1
641,1
642,1
645,1
651,1
655,2
660,1
662,1
663,1
664,1
665,1
666,2
668,1
669,1
671,1
675,1
677,1
682,1
689,1
690,1
693,2
698,2
704,1
705,1
706,1
710,1
716,1
718,1
728,1
735,1
737,1
739,1
746,1
748,1
750,1
763,3
764,1
774,1
776,1
781,1
782,1
786,1
787,2
788,1
794,2
795,1
796,1
798,1
799,1
802,1
807,1
811,1
814,1
821,2
822,1
830,1
831,1
832,1
833,2
834,1
835,1
836,1
837,1
839,2
840,4
841,2
842,1
843,5
844,3
845,3
846,5
848,2
849,2
850,4
851,2
852,1
853,4
854,2
856,4
857,1
858,2
859,1
860,2
861,2
862,5
863,1
864,5
865,3
866,3
867,1
868,3
869,3
870,7
871,2
872,2
873,2
874,5
875,1
876,2
878,2
879,1
880,1
881,2
882,2
883,2
885,2
888,2
889,3
890,2
891,1
892,1
893,3
894,1
895,1
898,2
900,2
903,1
904,1
907,1
911,1
914,1
916,1
919,1
923,2
924,2
929,1
932,1
934,2
935,1
936,1
938,1
942,1
944,1
947,1
948,1
949,1
952,1
953,1
956,1
958,1
961,2
964,1
966,2
969,1
975,1
976,1
979,1
980,1
981,1
982,2
988,1
992,1
994,1
1003,1
1009,1
1010,1
1013,1
1016,1
1023,1
1029,1
1040,1
1042,1
1046,2
1051,1
1055,1
1058,1
1060,1
1064,1
1066,2
1069,1
1072,1
1077,1
1086,1
1088,1
1089,2
1093,1
1095,3
1099,1
1100,1
1101,2
1104,1
1108,1
1109,2
1110,1
1118,1
1119,2
1122,1
1125,3
1127,2
1129,1
1135,1
1137,1
1138,1
1139,2
